No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
63,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,136.86B,37.77,276.92,-0.93%,"3,593,786"
64,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,USA,133.88B,-,59.27,-0.22%,"13,931,052"
65,LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,131.55B,58.47,246.10,-1.71%,"2,457,404"
66,SNY,Sanofi,Healthcare,Drug Manufacturers - General,France,130.93B,10.00,52.44,0.71%,"680,288"
67,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,USA,129.61B,46.80,110.69,-3.65%,"15,417,040"
68,TXN,Texas Instruments Incorporated,Technology,Semiconductors,USA,128.60B,26.01,138.66,-1.24%,"7,020,618"
69,BHP,BHP Group,Basic Materials,Other Industrial Metals & Mining,Australia,128.46B,17.43,54.71,-1.41%,"2,044,419"
70,BBL,BHP Group,Basic Materials,Other Industrial Metals & Mining,Australia,128.46B,14.49,45.48,-0.89%,"1,394,035"
71,CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,USA,127.10B,59.59,625.25,0.80%,"1,942,098"
72,NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,Denmark,125.28B,24.80,69.44,-0.19%,"878,013"
73,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,USA,123.77B,21.27,160.10,-2.25%,"5,477,520"
74,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,USA,123.76B,16.73,78.08,-1.75%,"8,799,952"
75,HON,Honeywell International Inc.,Industrials,Specialty Industrial Machinery,USA,119.54B,21.80,168.70,-0.96%,"4,903,776"
76,ZM,"Zoom Video Communications, Inc.",Communication Services,Telecom Services,USA,117.50B,560.32,438.73,6.20%,"22,271,180"
77,JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,China,115.90B,35.90,74.50,0.17%,"9,568,271"
78,IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,111.25B,13.68,122.76,-1.73%,"5,207,728"
79,AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA,111.22B,56.95,245.50,-2.09%,"3,266,778"
80,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,USA,110.68B,17.32,395.14,-0.20%,"2,634,665"
81,PTR,PetroChina Company Limited,Energy,Oil & Gas Integrated,China,108.26B,20.89,32.30,-1.22%,"148,129"
82,RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,United Kingdom,107.59B,14.62,64.42,-0.46%,"1,626,720"
83,RDS-A,Royal Dutch Shell plc,Energy,Oil & Gas Integrated,Netherlands,105.25B,-,26.98,-2.25%,"7,025,896"
84,SHOP,Shopify Inc.,Technology,Software - Application,Canada,104.59B,-,901.34,3.51%,"2,431,986"
85,RY,Royal Bank of Canada,Financial,Banks - Diversified,Canada,104.32B,12.24,72.34,-1.28%,"455,832"
86,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,103.45B,28.72,25.13,0.08%,"115,120,570"
87,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USA,101.41B,76.74,84.95,-2.07%,"10,105,191"
88,MMM,3M Company,Industrials,Specialty Industrial Machinery,USA,99.29B,19.22,169.55,-1.64%,"4,080,338"
89,GSK,GlaxoSmithKline plc,Healthcare,Drug Manufacturers - General,United Kingdom,98.93B,11.38,39.26,-0.53%,"3,682,575"
90,TOT,TOTAL SE,Energy,Oil & Gas Integrated,France,98.84B,-,36.62,-2.29%,"5,176,724"
91,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,Belgium,98.04B,-,57.56,-0.76%,"1,469,688"
92,SNE,Sony Corporation,Technology,Consumer Electronics,Japan,97.72B,15.64,78.96,1.74%,"1,211,000"
93,RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA,95.95B,152.82,62.35,-0.73%,"16,789,232"
94,RDS-B,Royal Dutch Shell plc,Energy,Oil & Gas Integrated,Netherlands,94.91B,-,25.64,-2.62%,"4,340,158"
95,C,Citigroup Inc.,Financial,Banks - Diversified,USA,94.79B,7.74,44.86,-1.47%,"33,073,464"
96,BA,The Boeing Company,Industrials,Aerospace & Defense,USA,94.56B,-,161.14,-3.81%,"21,982,754"
97,PDD,Pinduoduo Inc.,Consumer Cyclical,Internet Retail,China,94.19B,-,79.81,-1.49%,"9,854,314"
98,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,92.20B,1594.02,146.65,-1.45%,"3,616,726"
99,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,89.87B,148.97,74.93,-2.12%,"50,904,745"
100,HDB,HDFC Bank Limited,Financial,Banks - Regional,India,89.52B,94.67,48.99,-2.47%,"1,138,169"
101,NOW,"ServiceNow, Inc.",Technology,Software - Application,USA,87.04B,123.73,453.09,-0.16%,"1,456,529"
102,TD,The Toronto-Dominion Bank,Financial,Banks - Diversified,Canada,85.68B,11.97,46.94,-1.20%,"1,261,559"
103,SPGI,S&P Global Inc.,Financial,Financial Data & Stock Exchanges,USA,84.77B,33.09,351.01,-0.20%,"991,418"
104,AXP,American Express Company,Financial,Credit Services,USA,84.27B,21.42,103.44,-1.17%,"6,625,301"
105,BLK,"BlackRock, Inc.",Financial,Asset Management,USA,83.62B,19.61,556.92,1.55%,"2,981,298"
106,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,83.32B,20.52,152.39,-0.96%,"5,100,942"
107,HSBC,HSBC Holdings plc,Financial,Banks - Diversified,United Kingdom,82.07B,-,19.73,-2.04%,"4,119,043"
108,MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,USA,81.71B,23.89,56.52,-1.21%,"10,455,156"
109,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,USA,81.54B,-,65.05,0.02%,"14,047,749"
110,INTU,Intuit Inc.,Technology,Software - Application,USA,80.43B,43.39,300.13,-2.31%,"2,282,926"
111,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,United Kingdom,80.31B,9.76,34.59,-1.09%,"1,698,037"
112,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,79.68B,69.03,655.57,-3.72%,"1,340,708"
113,SYK,Stryker Corporation,Healthcare,Medical Devices,USA,79.42B,49.02,206.38,-2.45%,"2,610,272"
114,MS,Morgan Stanley,Financial,Capital Markets,USA,79.23B,9.05,50.08,-0.34%,"10,718,310"
115,DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom,79.07B,43.21,132.96,-1.93%,"403,721"
116,EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,77.83B,115.74,212.39,-1.54%,"1,065,635"
117,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,76.44B,9.45,59.57,1.99%,"13,496,461"
